entrada_id,ticker,data_confirmacao,preco_entrada,preco_atual,mediana_prevista,variacao_prevista,lower_q10,variacao_lower,sinal,indicador
8992,1MA,2019-01-31,15.850000381469727,15.520000457763672,14.994428,-0.03386422431009162,14.50228,-0.06557475466851831,-1,MA_ADX
8667,ALK,2019-04-04,57.82,56.12,56.498142,0.0067381012550185885,55.665752,-0.008094219335554625,0,MA_ADX
8675,ALK,2019-04-12,60.63,58.54,58.59659,0.0009666575805539093,57.17448,-0.023326265148062474,0,FPO
8891,AZUL4,2019-01-03,36.369998931884766,36.0,39.473,0.09647221035427517,35.264904,-0.020419332716200087,0,MA_ADX
9097,AZUL4,2019-03-15,41.5,37.060001373291016,33.497215,-0.09613561711475291,32.48004,-0.12358229087075866,-1,MA_ADX
8893,BSBR,2019-01-03,11.5967,10.3051,12.795951,0.24171050155625884,12.331554,0.19664577857971272,1,FPO
9062,BTG,2019-02-26,3.3,3.32,2.9311566,-0.11712149539625784,2.6802537,-0.1926946553839258,-1,MA_ADX
9051,CHGG,2019-02-22,39.13,37.76,39.371826,0.042686074467028656,38.695175,0.02476629160218325,1,MACD_SMA200
8968,CTRE,2019-01-17,20.66,19.9,19.659332,-0.012093855508008724,19.384266,-0.025916286449336457,0,FPO
8872,CVCB3,2019-06-24,43.70332336425781,43.48292922973633,41.172417,-0.05313608314005988,39.944653,-0.0813716264069806,-1,FPO
8892,DIRR3,2019-01-03,5.087797164916992,4.670560359954834,5.353938,0.14631600709554743,5.0258875,0.07607805102158016,1,MA_ADX
8900,DIRR3,2019-01-07,5.106479644775391,5.069114685058594,5.3786497,0.061062936189362434,5.202689,0.026350653729047484,1,MACD_SMA200
9085,DIRR3,2019-03-13,6.040590763092041,5.480123519897461,5.316437,-0.029869172058807663,5.021714,-0.08364944836056987,-1,MA_ADX
8995,ELV,2019-02-01,303.29,272.68,269.53827,-0.01152167726650747,265.2253,-0.0273385973327825,0,ADX_ST
8963,ENPH,2019-01-16,6.68,5.68,5.2147083,-0.0819175478438256,5.138854,-0.09527217838126165,-1,ADX_ST
8971,GIFI,2019-01-17,9.02,8.58,8.752343,0.020086617458672504,8.532145,-0.005577558681959325,0,ADX_ST
8951,HBOR3,2019-01-14,7.036121368408203,6.578149318695068,9.507148,0.44526177932480143,8.747302,0.3297512159687675,1,ADX_ST
9046,HROW,2019-02-20,6.68,6.16,5.8110976,-0.056639996441927846,5.589896,-0.09254931784295418,-1,MACD_SMA200
9060,HROW,2019-02-25,6.88,6.76,7.1392975,0.0561090954662075,6.5469646,-0.03151410571216828,0,MA_ADX
9038,IRBR3,2019-02-15,690.3197021484375,675.627197265625,728.17346,0.07777405181600286,715.58655,0.05914408233957958,1,MACD_SMA200
8895,ITUB,2019-01-04,7.3364,6.6521,9.468298,0.423354723827667,8.65892,0.30168221886110214,1,FPO
8874,JHSF3,2019-06-24,2.074244737625122,1.9859787225723269,1.9546304,-0.015784835611569827,1.7064106,-0.14077093221402665,0,MA_ADX
8831,LITB,2019-06-13,9.1198,8.3998,7.872924,-0.0627248445185382,6.9136796,-0.17692330772614084,-1,FPO
8848,LPG,2019-06-17,8.61,8.3,7.8804474,-0.05054850750658894,7.312175,-0.1190150846917946,-1,FPO
8691,MEGP,2019-04-15,87.0,84.5999984741211,70.91803,-0.16172540113165748,64.93853,-0.23240506927282942,-1,MA_ADX
8710,MEGP,2019-04-26,91.5999984741211,88.5999984741211,65.10205,-0.2652138611462227,55.71938,-0.37111308820932165,-1,FPO
8987,MPW,2019-01-29,17.77,17.54,18.755615,0.06930531552879139,17.83012,0.016540483846631857,1,ADX_ST
9035,PMTS,2019-02-14,3.3,3.05,2.9826496,-0.022082109920314043,2.8693597,-0.05922631748387065,-1,ADX_ST
8980,PRKS,2019-01-25,26.44,26.4,27.389254,0.037471727891401865,26.780548,0.014414700594815396,1,MA_ADX
8903,REGN,2019-01-07,396.63,397.55,433.04904,0.08929453338711323,424.37775,0.06748269798020687,1,ADX_ST
8825,RH,2019-06-12,94.89,88.95,115.90516,0.3030372006361105,116.148,0.3057673144970401,1,MA_ADX
9086,SBSP3,2019-03-13,36.42238235473633,33.19669342041016,34.217102,0.0307382611107802,31.772194,-0.042910885541478025,0,MA_ADX
8991,SBSW,2019-01-31,3.43,3.03,2.831634,-0.06546731199761816,2.7034862,-0.10776032866424454,-1,MA_ADX
9048,THS,2019-02-21,60.83,59.95,61.20826,0.020988483444862857,59.276035,-0.011242113280435567,0,MA_ADX
8776,TIMB,2019-05-31,13.87,13.28,12.946866,-0.025085388895976928,12.690075,-0.04442206922783905,-1,MA_ADX
8792,TIMB,2019-06-07,14.24,13.87,13.217985,-0.047009001211373976,13.13417,-0.053051940983976434,-1,MA_ADX
8855,TIMB,2019-06-19,14.9,14.04,13.74915,-0.020715792294580992,13.564543,-0.033864475043750494,-1,MA_ADX
8882,UNB,2019-06-28,37.01,34.42,36.156654,0.050454804122898156,34.52334,0.0030022753594158057,1,FPO
9013,WDAY,2019-02-04,186.78,186.06,175.44528,-0.05704997322142388,171.2947,-0.07935777172329324,-1,MACD_SMA200
9140,WIX,2019-03-25,118.92,117.98,120.042854,0.017484779700644406,116.96601,-0.00859458342631567,0,MA_ADX
8730,WRLD,2019-05-09,142.24,133.86,135.08804,0.009174086455181616,132.81482,-0.007808013327823947,0,MA_ADX
